n,q_plus,q_minus
2240,3,11
2242,97,41
2244,7,7
2246,31,3
2248,3,3
2250,29,11
2252,7,3
2254,13,53
2256,5,17
2258,3,5
2260,7,89
2262,23,17
2264,3,3
2266,37,5
2268,13,17
2270,37,23
2272,13,17
2274,11,5
2276,37,5
2278,7,83
2280,23,13
2282,43,5
2284,7,83
2286,43,5
2288,43,17
2290,3,23
2292,13,47
2294,7,107
2296,3,3
2298,5,5
2300,7,41
2302,109,11
2304,31,37
2306,3,17
2308,37,17
2310,17,43
2312,19,47
2314,37,29
2316,5,7
2318,3,5
2320,7,17
2322,5,5
2324,3,3
2326,7,17
2328,13,11
2330,61,17
2332,3,5
2334,23,13
2336,7,17
2338,13,11
2340,37,29
2342,97,11
2344,3,47
2346,5,59
2348,3,11
2350,19,29
2352,23,11
2354,37,5
2356,3,3
2358,5,7
2360,67,11
2362,109,11
2364,5,5
2366,3,3
2368,19,23
2370,7,7
2372,7,11
2374,103,3
2376,7,29
2378,37,3
2380,19,3
2382,5,13
2384,7,3
2386,37,47
2388,19,5
2390,67,41
2392,79,5
2394,23,29
2396,13,17
2398,37,5
2400,11,19
2402,73,17
2404,37,17
2406,5,7
2408,3,5
2410,7,3
2412,7,11
2414,3,23
2416,7,3
2418,23,7
2420,7,23
2422,13,11
2424,5,13
2426,7,227
2428,19,3
2430,7,37
2432,3,71
2434,61,5
2436,11,5
2438,7,3
2440,3,11
2442,17,13
2444,3,3
2446,31,47
2448,13,7
2450,19,11
2452,13,41
2454,7,29
2456,43,5
2458,79,5
2460,7,13
2462,19,3
2464,73,29
2466,43,13
2468,3,83
2470,3,11
2472,5,7
2474,13,113
2476,103,29
2478,37,11
2480,37,23
2482,7,3
2484,61,5
2486,3,3
2488,3,3
2490,7,19
2492,3,5
2494,7,47
2496,31,59
2498,3,3
2500,157,11
2502,13,31
2504,7,3
2506,3,3
2508,13,17
2510,3,3
2512,7,11
2514,23,7
2516,7,3
2518,19,131
2520,11,47
2522,19,23
2524,7,5
2526,5,7
2528,67,131
2530,193,59
2532,79,5
2534,3,17
2536,13,23
2538,23,5
2540,193,41
2542,19,3
2544,17,17
2546,7,59
2548,19,17
2550,19,13
2552,7,5
2554,37,5
2556,7,13
2558,3,5
2560,193,23
2562,13,11
2564,13,3
2566,3,3
2568,53,5
2570,3,17
2572,37,3
2574,5,17
2576,37,53
2578,79,83
2580,37,7
2582,37,5
2584,31,107
2586,31,5
2588,7,3
2590,13,11
2592,5,17
2594,37,3
2596,73,17
2598,17,11
