n,q_plus,q_minus
8122,19,41
8124,7,43
8126,3,5
8128,37,3
8130,13,11
8132,43,5
8134,67,17
8136,7,7
8138,3,251
8140,67,3
8142,43,31
8144,7,3
8146,37,29
8148,5,17
8150,13,29
8152,3,71
8154,5,7
8156,31,5
8158,7,17
8160,11,19
8162,3,5
8164,37,23
8166,11,7
8168,73,191
8170,73,3
8172,17,13
8174,151,5
8176,3,5
8178,5,17
8180,3,11
8182,67,17
8184,5,17
8186,3,5
8188,163,3
8190,17,23
8192,97,5
8194,37,5
8196,7,7
8198,7,47
8200,7,227
8202,23,7
8204,13,23
8206,7,3
8208,23,5
8210,19,3
8212,7,5
8214,7,7
8216,37,5
8218,3,41
8220,41,23
8222,37,5
8224,3,83
8226,11,17
8228,109,47
8230,79,17
8232,5,11
8234,37,17
8236,7,59
8238,17,13
8240,7,53
8242,7,3
8244,11,13
8246,3,17
8248,37,3
8250,13,7
8252,79,3
8254,43,3
8256,7,29
8258,19,3
8260,3,17
8262,5,5
8264,3,137
8266,7,23
8268,5,17
8270,3,71
8272,13,5
8274,5,67
8276,13,3
8278,3,5
8280,11,11
8282,3,17
8284,67,29
8286,5,5
8288,67,5
8290,7,173
8292,13,5
8294,31,3
8296,211,23
8298,37,11
8300,43,41
8302,19,3
8304,5,5
8306,3,3
8308,3,17
8310,29,7
8312,13,11
8314,61,3
8316,41,13
8318,67,5
8320,3,3
8322,17,7
8324,37,89
8326,31,5
8328,7,41
8330,73,23
8332,37,41
8334,31,13
8336,31,3
8338,193,3
8340,13,11
8342,307,83
8344,13,5
8346,61,17
8348,73,5
8350,31,11
8352,5,13
8354,13,53
8356,97,29
8358,19,11
8360,7,47
8362,3,3
8364,37,37
8366,73,83
8368,67,17
8370,13,7
8372,37,71
8374,7,5
8376,13,13
8378,7,53
8380,3,17
8382,23,5
8384,37,23
8386,73,17
8388,29,7
8390,37,11
8392,19,11
8394,11,13
8396,43,59
8398,67,191
8400,11,29
8402,13,5
8404,7,3
8406,5,5
8408,3,3
8410,7,83
8412,5,7
8414,3,17
8416,13,5
8418,7,17
8420,61,23
8422,3,53
8424,17,7
8426,7,59
8428,229,23
8430,7,13
8432,37,11
8434,31,17
8436,11,17
8438,7,293
8440,7,23
8442,13,11
8444,67,3
8446,3,47
8448,7,47
8450,19,3
8452,13,3
8454,53,7
8456,43,3
8458,7,5
8460,29,11
8462,3,3
8464,3,17
8466,7,19
8468,19,23
8470,19,17
8472,89,13
8474,7,53
8476,67,53
8478,29,11
8480,7,101
8482,37,3
8484,31,17
8486,37,23
8488,3,17
8490,11,11
8492,3,17
8494,13,17
8496,7,13
8498,37,5
8500,67,3
8502,7,11
8504,3,3
8506,31,47
8508,17,11
8510,13,3
8512,3,23
8514,67,7
8516,37,3
8518,3,3
8520,29,53
8522,7,11
8524,7,5
8526,5,5
8528,37,3
8530,3,11
8532,173,11
8534,61,53
8536,31,5
8538,47,13
8540,3,47
8542,7,5
8544,7,13
8546,7,47
8548,7,5
8550,17,17
8552,37,41
8554,97,3
8556,5,29
8558,7,17
8560,37,227
8562,23,37
8564,67,5
8566,7,59
8568,53,31
8570,19,59
8572,3,11
8574,5,17
8576,151,23
8578,37,53
8580,37,17
8582,3,11
8584,7,23
8586,13,13
8588,37,5
8590,7,3
8592,7,5
8594,61,3
8596,13,17
8598,5,17
8600,67,3
8602,3,41
8604,11,5
8606,31,47
8608,7,23
8610,11,11
8612,193,3
8614,7,3
8616,47,13
8618,7,5
8620,3,11
8622,5,13
8624,31,3
8626,61,5
8628,13,11
8630,7,23
8632,3,11
8634,17,5
8636,151,47
8638,139,3
8640,7,7
8642,7,3
8644,61,17
8646,5,5
8648,13,3
8650,7,17
8652,17,17
8654,61,23
8656,67,5
8658,17,7
8660,37,11
8662,67,83
8664,13,7
8666,3,17
8668,103,5
8670,13,31
8672,7,41
8674,73,17
8676,23,5
8678,19,71
8680,37,17
8682,29,7
8684,7,17
8686,3,3
8688,19,7
8690,73,47
8692,13,3
8694,5,17
8696,163,5
8698,67,17
8700,23,7
8702,7,5
8704,37,3
8706,5,5
8708,3,23
8710,37,23
8712,23,53
8714,43,5
8716,67,3
8718,17,17
8720,61,17
8722,19,3
8724,7,7
8726,3,3
8728,3,5
8730,7,11
8732,3,5
8734,7,47
8736,103,43
8738,13,3
8740,3,53
8742,17,7
8744,61,5
8746,3,29
8748,7,23
8750,79,71
8752,37,17
8754,17,13
8756,7,17
8758,3,53
8760,53,11
8762,79,5
8764,3,3
8766,5,47
8768,7,11
8770,19,11
8772,5,11
8774,67,3
8776,13,47
8778,13,13
8780,19,17
8782,199,3
8784,11,5
8786,3,47
8788,7,3
8790,41,19
8792,19,17
8794,193,5
8796,23,7
8798,3,293
8800,43,3
8802,23,7
8804,7,3
8806,3,29
8808,5,13
8810,7,83
8812,67,11
8814,7,17
8816,37,53
8818,79,113
8820,11,13
8822,19,5
8824,37,53
8826,23,23
8828,37,23
8830,3,11
8832,47,7
8834,31,3
8836,97,5
8838,17,5
8840,109,3
8842,127,53
8844,7,53
8846,61,17
8848,19,11
8850,13,13
8852,127,3
8854,211,17
8856,5,17
8858,7,83
8860,13,173
8862,19,11
8864,13,29
8866,3,3
8868,53,13
8870,31,59
8872,43,11
8874,5,23
8876,37,17
8878,37,83
8880,29,29
8882,127,11
8884,7,3
8886,13,5
8888,13,5
8890,3,71
8892,29,7
8894,3,5
8896,7,17
8898,5,13
8900,3,41
8902,19,41
8904,17,13
8906,7,17
8908,109,11
8910,29,7
8912,43,5
8914,157,17
8916,43,5
8918,3,23
8920,67,41
8922,7,41
8924,61,59
8926,37,5
8928,29,13
8930,37,3
8932,109,71
8934,11,7
8936,7,173
8938,73,11
8940,7,7
8942,73,101
8944,7,3
8946,11,13
8948,43,17
8950,13,11
8952,43,5
8954,103,53
8956,31,5
8958,5,17
8960,3,17
8962,7,3
8964,7,29
8966,31,17
8968,3,467
8970,11,7
8972,13,3
8974,31,5
8976,13,113
8978,37,3
8980,3,3
8982,43,11
8984,3,3
8986,61,17
8988,73,5
8990,61,3
8992,3,17
8994,7,23
8996,31,3
8998,3,5
9000,13,43
9002,19,17
9004,13,5
9006,7,5
9008,19,3
9010,7,3
9012,107,11
9014,7,5
9016,13,29
9018,79,5
9020,67,113
9022,19,11
9024,23,23
9026,3,167
9028,7,3
9030,29,11
9032,13,71
9034,3,29
9036,11,5
9038,7,23
9040,13,3
9042,7,5
9044,193,5
9046,67,227
9048,17,7
9050,7,41
9052,7,101
9054,7,19
9056,7,83
9058,3,23
9060,11,7
9062,43,3
9064,7,3
9066,5,13
9068,37,3
9070,7,59
9072,5,23
9074,61,47
9076,7,5
9078,19,11
9080,31,41
9082,109,11
9084,5,5
9086,13,3
9088,43,3
9090,7,17
9092,37,11
9094,37,149
9096,11,5
9098,7,3
9100,19,3
9102,7,5
9104,13,17
9106,43,17
9108,7,7
9110,3,53
9112,43,47
9114,5,19
9116,7,5
9118,7,3
9120,23,31
9122,3,17
9124,13,29
9126,7,19
9128,3,113
9130,7,17
9132,13,5
9134,31,47
9136,7,23
9138,7,41
9140,13,71
9142,19,11
9144,7,13
9146,13,383
9148,43,41
9150,11,11
9152,7,3
9154,127,29
9156,41,37
9158,13,5
9160,7,17
9162,19,7
9164,3,3
9166,7,17
9168,7,13
9170,3,17
9172,37,3
9174,53,7
9176,3,3
9178,73,23
9180,7,7
9182,139,23
9184,31,29
9186,61,13
9188,37,71
9190,3,89
9192,19,11
9194,3,5
9196,37,23
9198,13,13
9200,139,41
9202,13,5
9204,5,19
9206,3,3
9208,67,17
9210,7,7
9212,97,11
9214,7,59
9216,101,47
9218,43,3
9220,3,41
9222,43,31
9224,7,17
9226,3,89
9228,5,5
9230,31,29
9232,19,3
9234,5,13
9236,13,17
9238,43,3
9240,67,23
9242,13,71
9244,3,3
9246,31,7
9248,3,47
9250,127,17
9252,7,5
9254,43,5
9256,97,5
9258,23,11
9260,37,89
9262,7,41
9264,13,5
9266,163,3
9268,43,5
9270,11,29
9272,7,17
9274,7,59
9276,5,17
9278,3,41
9280,7,101
9282,19,11
9284,43,29
9286,31,89
9288,59,7
9290,43,17
9292,3,17
9294,53,13
9296,3,29
9298,7,71
9300,7,13
9302,7,17
9304,3,89
9306,7,29
9308,19,5
9310,37,29
9312,5,31
9314,43,113
9316,3,173
9318,29,11
9320,31,29
9322,7,5
9324,31,17
9326,97,89
9328,7,5
9330,19,17
9332,7,3
9334,3,167
9336,43,13
9338,67,41
9340,97,3
9342,43,61
9344,37,5
9346,3,149
9348,17,17
9350,19,59
9352,37,3
9354,7,7
9356,7,167
9358,43,3
9360,17,7
9362,7,3
9364,43,17
9366,17,43
9368,19,17
9370,13,29
9372,5,5
9374,37,3
9376,3,17
9378,5,17
9380,19,3
9382,67,17
9384,7,5
9386,7,5
9388,157,5
9390,43,11
9392,43,71
9394,3,5
9396,37,17
9398,139,47
9400,31,11
9402,7,11
9404,67,17
9406,67,29
9408,47,5
9410,163,71
9412,3,101
9414,17,19
9416,7,53
9418,79,3
9420,11,23
9422,13,17
9424,61,3
9426,11,17
9428,7,41
9430,31,3
9432,7,11
9434,97,59
9436,3,83
9438,7,17
9440,3,3
9442,3,17
9444,7,19
9446,3,17
9448,7,41
9450,17,13
9452,37,23
9454,3,5
9456,11,47
9458,37,137
9460,67,17
9462,5,7
9464,3,83
9466,13,5
9468,37,61
9470,37,17
9472,19,3
9474,31,5
9476,37,29
9478,13,113
9480,23,23
9482,7,17
9484,61,149
9486,11,7
9488,37,5
9490,7,17
9492,17,13
9494,13,83
9496,7,5
9498,5,11
9500,7,3
9502,43,3
9504,7,13
9506,31,47
9508,19,23
9510,11,13
9512,109,5
9514,7,59
9516,11,17
9518,43,23
9520,13,11
9522,19,7
9524,31,47
9526,31,5
9528,23,11
9530,37,89
9532,7,71
9534,5,5
9536,97,3
9538,7,5
9540,11,7
9542,103,17
9544,3,3
9546,11,5
9548,43,131
9550,19,3
9552,37,13
9554,3,23
9556,3,3
9558,13,13
9560,37,17
9562,37,11
9564,11,13
9566,181,29
9568,67,47
9570,23,7
9572,37,41
9574,7,29
9576,11,5
9578,97,3
9580,7,3
9582,5,5
9584,67,23
9586,3,29
9588,13,7
9590,37,11
9592,7,23
9594,17,5
9596,3,53
9598,7,5
9600,17,11
9602,13,3
9604,13,3
9606,11,5
9608,3,5
9610,67,3
9612,17,11
9614,13,29
9616,43,17
9618,5,23
9620,67,23
9622,3,47
9624,5,17
9626,31,5
9628,7,17
9630,7,19
9632,139,17
9634,127,3
9636,7,13
9638,3,3
9640,31,3
9642,43,11
9644,67,5
9646,3,113
9648,5,37
9650,31,17
9652,67,5
9654,5,17
9656,31,5
9658,37,3
9660,13,19
9662,13,41
9664,31,83
9666,7,19
9668,73,11
9670,67,47
9672,19,5
9674,127,5
9676,163,17
9678,17,13
9680,7,41
9682,3,3
9684,7,29
9686,7,23
9688,97,41
9690,11,13
9692,37,17
9694,151,5
9696,5,7
9698,7,11
9700,37,41
9702,37,31
9704,43,3
9706,3,3
9708,23,5
9710,19,11
9712,3,3
9714,47,5
9716,3,5
9718,7,191
9720,29,53
9722,19,83
9724,31,53
9726,11,7
9728,79,23
9730,103,17
9732,7,7
9734,73,29
9736,67,5
9738,5,17
9740,31,173
9742,43,23
9744,13,19
9746,67,17
9748,43,5
9750,7,17
9752,37,41
9754,67,5
9756,5,29
9758,19,3
9760,19,3
9762,23,7
9764,7,17
9766,31,3
9768,13,31
9770,97,17
9772,67,257
9774,7,5
9776,73,83
9778,3,47
9780,17,13
9782,109,5
9784,13,29
9786,11,17
9788,13,17
9790,31,29
9792,5,5
9794,37,23
9796,7,29
9798,5,43
9800,31,3
9802,37,3
9804,7,7
9806,31,59
9808,7,3
9810,13,19
9812,7,3
9814,3,47
9816,11,19
9818,109,5
9820,7,11
9822,23,5
9824,97,5
9826,37,23
9828,17,5
9830,13,3
9832,3,17
9834,37,53
9836,3,5
9838,7,11
9840,29,17
9842,73,11
9844,97,3
9846,13,17
9848,37,3
9850,37,23
9852,7,53
9854,97,5
9856,37,23
9858,43,7
9860,31,173
9862,3,23
9864,5,13
9866,157,3
9868,7,3
9870,31,11
9872,37,5
9874,13,29
9876,43,5
9878,19,3
9880,31,11
9882,19,7
9884,61,5
9886,163,113
9888,7,17
9890,3,11
9892,3,5
9894,11,13
9896,163,3
9898,13,17
9900,13,37
9902,3,17
9904,3,53
9906,5,5
9908,7,11
9910,13,17
9912,19,31
9914,37,3
9916,13,5
9918,5,7
9920,19,17
9922,67,17
9924,41,19
9926,67,29
9928,7,83
9930,7,41
9932,193,53
9934,3,83
9936,31,19
9938,7,5
9940,13,11
9942,19,5
9944,3,3
9946,151,17
9948,23,13
9950,3,53
9952,97,5
9954,37,43
9956,13,5
9958,3,17
9960,89,7
9962,337,11
9964,43,17
9966,7,59
9968,3,17
9970,19,3
9972,17,5
9974,73,17
9976,3,17
9978,59,13
9980,7,23
9982,3,41
9984,37,7
9986,37,3
9988,3,431
9990,11,11
9992,3,11
9994,37,17
9996,5,19
9998,7,5
10000,7,11
